tag,byte_saving_pct,syn_jpos_vs_fp,real_jpos_s0,real_jpos_s1,real_jpos_s2,real_max,truth_mae_s0,n_w4_layers
A_bert_pt,26.7,0.01865,0.02024,0.02874,0.01988,0.02874,0.0417,72
B_bvn,35.9,0.03129,0.04954,0.03236,0.06465,0.06465,0.0486,184
C_ah_g128,42.2,0.03697,0.04179,0.02916,0.0557,0.0557,0.0519,335
D_all_g128,49.3,0.0468,0.04447,0.03304,0.05686,0.05686,0.0571,438
E_bert_v2d_neck,35.6,0.02306,0.02906,0.03146,0.01774,0.03146,0.0374,128
E_g64,35.4,0.02108,0.02326,0.03258,0.01962,0.03258,0.0392,128
E_qoq,35.7,0.04025,0.02223,0.06227,0.07889,0.07889,0.0505,128
F_E_v3dpt,35.9,0.03555,0.01301,0.02468,0.01751,0.02468,0.0483,184
G6_E_ah,42.2,0.04423,0.029,0.02677,0.03764,0.03764,0.067,335
G_thr002,28.9,0.04316,0.02325,0.01872,0.03007,0.03007,0.0582,321
G_thr004,44.7,0.04135,0.02137,0.02352,0.03272,0.03272,0.0574,414
H_E_ah_only,41.9,0.04466,0.02451,0.02965,0.02711,0.02965,0.0481,279
I_bertg128_v2d,34.8,0.02386,0.02566,0.03012,0.01923,0.03012,0.0373,128
W8_ref,0.0,0.02593,0.01869,0.02716,0.02003,0.02716,0.0435,0
