scope,mode,n_layers,djpos_median,djpos_mean,djpos_p90,n_djpos_gt_5e-3,bytes_w8
?,g128,1,0.0035045482218265533,0.0035045482218265533,0.0035045482218265533,0,196608
?,pt,1,-0.00034183450043201447,-0.00034183450043201447,-0.00034183450043201447,0,196608
action_head,g128,151,0.00032010115683078766,0.00033153228412400806,0.0010926593095064163,0,20720128
action_head,pt,151,0.0003981851041316986,0.0006757362912230145,0.0014165174216032028,3,20720128
fusion,g128,96,0.0013608001172542572,0.001791281276382506,0.0038766413927078247,5,21823488
fusion,g128,6,-5.8319419622421265e-06,0.0003210858752330144,0.0007138345390558243,0,1278336
fusion,pt,96,0.0011271201074123383,0.001546974041654418,0.004300568252801895,3,21823488
fusion,pt,6,0.0027048978954553604,0.001898222758124272,0.0029590781778097153,1,1278336
neck_convs,g128,4,0.0022705644369125366,0.0022952198050916195,0.0022705644369125366,0,2113536
neck_convs,pt,4,0.002961456775665283,0.0025744405575096607,0.002961456775665283,0,2113536
text_bert,g128,72,0.0018222033977508545,0.0018915827127380504,0.0037835482507944107,2,84934656
text_bert,pt,72,0.0018795840442180634,0.0020304793854140574,0.003980604931712151,3,84934656
vision_2d,g128,52,0.0018480811268091202,0.0020756969013466285,0.0043457746505737305,2,27431424
vision_2d,pt,52,0.0022487305104732513,0.0025491507437366704,0.00519183836877346,8,27431424
vision_3d,g128,52,0.000678693875670433,0.0014605982085833182,0.0027150828391313553,4,762112
vision_3d,g128,4,0.00029555149376392365,0.0005509732291102409,0.00029555149376392365,0,176128
vision_3d,pt,52,0.0010953042656183243,0.0016904550855262922,0.004095803946256638,4,762112
vision_3d,pt,4,0.00016009621322155,0.0001067514531314373,0.00016009621322155,0,176128
