mode,key,scope,numel,bytes_w8,save_g128,save_pt,djpos_vs_w8,jpos_direct_vs_w8,local_rel,jpos_vs_fp
w4g128,backbone_3d.patch_embed.projection,vision_3d,256,256,96,124,0.02408,0.03075,0.10047,0.04231
w4g128,backbone_3d.stages.0.blocks.0.ffn.layers.1,vision_3d,1024,1024,480,508,0.00741,0.01113,0.05354,0.02564
w4g128,backbone_3d.stages.1.blocks.0.ffn.layers.1,vision_3d,4096,4096,1984,2044,0.00725,0.01118,0.09784,0.02548
w4g128,backbone.stages.3.blocks.1.ffn.layers.1,vision_2d,2359296,2359296,1142784,1179644,0.00681,0.01012,0.14709,0.02504
w4g128,backbone_3d.stages.0.downsample.reduction,vision_3d,2048,2048,960,1020,0.00673,0.01064,0.09437,0.02496
w4g128,feature_enhancer.img_attn_blocks.2.ffn.layers.0.0,fusion,524288,524288,253952,262140,0.00661,0.00988,0.06023,0.02484
w4g128,feature_enhancer.img_attn_blocks.1.ffn.layers.0.0,fusion,524288,524288,253952,262140,0.00599,0.00868,0.07311,0.02422
w4g128,feature_enhancer.img_attn_blocks.0.ffn.layers.1,fusion,524288,524288,253952,262140,0.00593,0.00900,0.09611,0.02416
w4g128,text_encoder.language_backbone.body.model.encoder.layer.8.output.dense,text_bert,2359296,2359296,1142784,1179644,0.00586,0.00834,0.07912,0.02409
w4g128,backbone.stages.2.blocks.0.attn.w_msa.proj,vision_2d,147456,147456,71424,73724,0.00572,0.00872,0.08586,0.02395
w4g128,feature_enhancer.img_attn_blocks.4.self_attn.attention_weights,fusion,32768,32768,15872,16380,0.00549,0.00884,0.06753,0.02372
w4g128,text_encoder.language_backbone.body.model.encoder.layer.2.attention.self.key,text_bert,589824,589824,285696,294908,0.00512,0.00820,0.07272,0.02335
w4g128,feature_enhancer.img_attn_blocks.2.self_attn.output_proj,fusion,65536,65536,31744,32764,0.00504,0.00875,0.08841,0.02327
