layer,type,module,k,n,numel,quant,group_size,scale_format,bytes_w8,bytes_w4
backbone.patch_embed.projection,nn.Conv2d,vision_2d,48,96,4608,INT4 symmetric,128,96 x fp16 group scales,4608,2496
backbone.stages.0.blocks.0.attn.w_msa.proj,nn.Linear,vision_2d,96,96,9216,INT4 symmetric,128,96 x fp16 group scales,9216,4800
backbone.stages.0.blocks.0.attn.w_msa.qkv,nn.Linear,vision_2d,96,288,27648,INT4 symmetric,128,288 x fp16 group scales,27648,14400
backbone.stages.0.blocks.0.ffn.layers.0.0,nn.Linear,vision_2d,96,384,36864,INT4 symmetric,128,384 x fp16 group scales,36864,19200
backbone.stages.0.blocks.0.ffn.layers.1,nn.Linear,vision_2d,384,96,36864,INT4 symmetric,128,288 x fp16 group scales,36864,19008
backbone.stages.0.blocks.1.attn.w_msa.proj,nn.Linear,vision_2d,96,96,9216,INT4 symmetric,128,96 x fp16 group scales,9216,4800
backbone.stages.0.blocks.1.attn.w_msa.qkv,nn.Linear,vision_2d,96,288,27648,INT4 symmetric,128,288 x fp16 group scales,27648,14400
backbone.stages.0.blocks.1.ffn.layers.0.0,nn.Linear,vision_2d,96,384,36864,INT4 symmetric,128,384 x fp16 group scales,36864,19200
backbone.stages.0.blocks.1.ffn.layers.1,nn.Linear,vision_2d,384,96,36864,INT4 symmetric,128,288 x fp16 group scales,36864,19008
backbone.stages.0.downsample.reduction,nn.Linear,vision_2d,384,192,73728,INT4 symmetric,128,576 x fp16 group scales,73728,38016
backbone.stages.1.blocks.0.attn.w_msa.proj,nn.Linear,vision_2d,192,192,36864,INT4 symmetric,128,384 x fp16 group scales,36864,19200
backbone.stages.1.blocks.0.attn.w_msa.qkv,nn.Linear,vision_2d,192,576,110592,INT4 symmetric,128,1152 x fp16 group scales,110592,57600
backbone.stages.1.blocks.0.ffn.layers.0.0,nn.Linear,vision_2d,192,768,147456,INT4 symmetric,128,1536 x fp16 group scales,147456,76800
backbone.stages.1.blocks.0.ffn.layers.1,nn.Linear,vision_2d,768,192,147456,INT4 symmetric,128,1152 x fp16 group scales,147456,76032
backbone.stages.1.blocks.1.attn.w_msa.proj,nn.Linear,vision_2d,192,192,36864,INT4 symmetric,128,384 x fp16 group scales,36864,19200
backbone.stages.1.blocks.1.attn.w_msa.qkv,nn.Linear,vision_2d,192,576,110592,INT4 symmetric,128,1152 x fp16 group scales,110592,57600
backbone.stages.1.blocks.1.ffn.layers.0.0,nn.Linear,vision_2d,192,768,147456,INT4 symmetric,128,1536 x fp16 group scales,147456,76800
backbone.stages.1.blocks.1.ffn.layers.1,nn.Linear,vision_2d,768,192,147456,INT4 symmetric,128,1152 x fp16 group scales,147456,76032
