kind,roundtrip_cycles,tensor_bytes,engine_cycles,net_save_cycles,net_save_ms_at_198p5
norm,73376375,116021772,15525540,57850835,291.4
softmax,22721760,42180608,2690596,20031164,100.9
actv,15414208,19644992,1298905,14115303,71.1
swin_reverse,7744735,18350080,1176640,6568095,33.1
rotary,7648680,15016960,1055880,6592800,33.2
other,5375896,14169122,943716,4432179,22.3
swin_partition,5373406,16098880,1039001,4334404,21.8
deform_host,4585470,10444800,673200,3912270,19.7
softmax_prep,2960804,18176,21549,2939255,14.8
swin_split,1709240,3963904,255486,1453754,7.3
im2col,935762,2003383,140460,795301,4.0
exempt,931774,0,0,931774,4.7
host_gemm,21827,0,0,21827,0.1
